RID,Protocol,ip_src,ip_dst,pro_srcport,pro_dstport,flags_ack,ip_flags_mf,ip_flags_df,ip_flags_rb,pro_seq,pro_ack,frame_time,Packets,Bytes1,Tx_Packets,Tx_Bytes,Rx_Packets,Rx_Bytes,Label
C1959239586,tcp,192.168.1.1,192.168.23.2,2434,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071548000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C504336483,tcp,192.168.1.1,192.168.23.2,2435,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071557000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C1984094095,tcp,192.168.1.1,192.168.23.2,2436,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071583000 Mountain Daylight Time,8,432,4,216,4,216,Fraggile
C1043358826,udp,192.168.1.1,192.168.23.2,2437,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071643000 Mountain Daylight Time,8,432,4,216,4,216,normal
C1671590089,tcp,192.168.1.1,192.168.23.2,2438,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071690000 Mountain Daylight Time,8,432,4,216,4,216,Fraggile
C1053967012,tcp,192.168.1.1,192.168.23.2,2439,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071696000 Mountain Daylight Time,14,756,7,378,7,378,normal
C1632497828,udp,192.168.1.1,192.168.23.2,2440,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071761000 Mountain Daylight Time,8,432,4,216,4,216,Fraggile
C764826684,udp,192.168.1.1,192.168.23.2,2441,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071786000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C2103763750,udp,192.168.1.1,192.168.23.2,2442,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.072109000 Mountain Daylight Time,6,324,3,162,3,162,Fraggile
C215078753,udp,192.168.1.1,192.168.23.2,2443,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.072114000 Mountain Daylight Time,6,324,3,162,3,162,normal
C840514538,tcp,192.168.1.1,192.168.23.2,2444,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073216000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C1768242710,tcp,192.168.1.1,192.168.23.2,2445,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073239000 Mountain Daylight Time,14,756,7,378,7,378,Fraggile
C247113419,udp,192.168.1.1,192.168.23.2,2446,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073245000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C1238616099,tcp,192.168.1.1,192.168.23.2,2447,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073248000 Mountain Daylight Time,10,540,5,270,5,270,normal
C1608633989,tcp,192.168.1.1,192.168.23.2,2448,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073278000 Mountain Daylight Time,6,324,3,162,3,162,normal
C923341586,tcp,192.168.1.1,192.168.23.2,2449,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073383000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C1470868839,tcp,192.168.1.1,192.168.23.2,2450,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073400000 Mountain Daylight Time,12,648,6,324,6,324,normal
C711197015,tcp,192.168.1.1,192.168.23.2,2451,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073406000 Mountain Daylight Time,10,540,5,270,5,270,normal
C1481594086,tcp,192.168.1.1,192.168.23.2,2452,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073412000 Mountain Daylight Time,8,432,4,216,4,216,normal
C1466917878,tcp,192.168.1.1,192.168.23.2,2453,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073419000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C768216420,tcp,192.168.1.1,192.168.23.2,2454,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073450000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C260084831,tcp,192.168.1.1,192.168.23.2,2455,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073466000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C598357562,tcp,192.168.1.1,192.168.23.2,2456,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073545000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C1440738283,udp,192.168.1.1,192.168.23.2,2457,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073557000 Mountain Daylight Time,14,756,7,378,7,378,smurf
C484199463,tcp,192.168.1.1,192.168.23.2,2458,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073566000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1570470538,udp,192.168.1.1,192.168.23.2,2459,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073599000 Mountain Daylight Time,14,756,7,378,7,378,normal
C512549200,udp,192.168.1.1,192.168.23.2,2460,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073616000 Mountain Daylight Time,12,648,6,324,6,324,normal
C1615801298,tcp,192.168.1.1,192.168.23.2,2461,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073698000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C460570271,udp,192.168.1.1,192.168.23.2,2462,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073709000 Mountain Daylight Time,14,756,7,378,7,378,Fraggile
C2072313080,tcp,192.168.1.1,192.168.23.2,2463,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073754000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C816944408,udp,192.168.1.1,192.168.23.2,2464,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073769000 Mountain Daylight Time,12,648,6,324,6,324,normal
C912966811,tcp,192.168.1.1,192.168.23.2,2465,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073774000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C1458621573,udp,192.168.1.1,192.168.23.2,2466,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073812000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C46941357,tcp,192.168.1.1,192.168.23.2,2467,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073939000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C343345308,tcp,192.168.1.1,192.168.23.2,2468,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073960000 Mountain Daylight Time,12,648,6,324,6,324,normal
C104716441,tcp,192.168.1.1,192.168.23.2,2469,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073965000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C1976401987,udp,192.168.1.1,192.168.23.2,2470,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073969000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C867288517,udp,192.168.1.1,192.168.23.2,2471,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.073995000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1528834618,udp,192.168.1.1,192.168.23.2,2472,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074049000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C280615803,tcp,192.168.1.1,192.168.23.2,2473,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074081000 Mountain Daylight Time,8,432,4,216,4,216,normal
C166694583,tcp,192.168.1.1,192.168.23.2,2474,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074125000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C885910946,tcp,192.168.1.1,192.168.23.2,2475,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074171000 Mountain Daylight Time,14,756,7,378,7,378,normal
C811207775,tcp,192.168.1.1,192.168.23.2,2476,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.07416-Jun 202000 Mountain Daylight Time,14,756,7,378,7,378,Fraggile
C1161148117,tcp,192.168.1.1,192.168.23.2,2477,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074225000 Mountain Daylight Time,14,756,7,378,7,378,normal
C1131592118,tcp,192.168.1.1,192.168.23.2,2478,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074281000 Mountain Daylight Time,14,756,7,378,7,378,Fraggile
C1262609629,tcp,192.168.1.1,192.168.23.2,2479,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074290000 Mountain Daylight Time,14,756,7,378,7,378,normal
C1955990522,tcp,192.168.1.1,192.168.23.2,2480,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074306000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C69673470,udp,192.168.1.1,192.168.23.2,2481,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074367000 Mountain Daylight Time,14,756,7,378,7,378,Fraggile
C527211736,tcp,192.168.1.1,192.168.23.2,2482,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074402000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C1533123860,tcp,192.168.1.1,192.168.23.2,2483,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074447000 Mountain Daylight Time,16,864,8,432,8,432,Fraggile
C1718906711,udp,192.168.1.1,192.168.23.2,2484,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074486000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C71802912,udp,192.168.1.1,192.168.23.2,2485,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074511000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C686349795,tcp,192.168.1.1,192.168.23.2,2486,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074547000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C1423768154,tcp,192.168.1.1,192.168.23.2,2487,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074591000 Mountain Daylight Time,14,756,7,378,7,378,normal
C1987977423,tcp,192.168.1.1,192.168.23.2,2488,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074615000 Mountain Daylight Time,12,648,6,324,6,324,normal
C807322507,tcp,192.168.1.1,192.168.23.2,2489,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074686000 Mountain Daylight Time,6,324,3,162,3,162,Fraggile
C283039401,tcp,192.168.1.1,192.168.23.2,2490,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074694000 Mountain Daylight Time,12,648,6,324,6,324,normal
C207471778,tcp,192.168.1.1,192.168.23.2,2491,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074721000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1243171897,udp,192.168.1.1,192.168.23.2,2492,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074855000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1376151044,icmp,192.168.1.1,192.168.23.2,2493,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074862000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C873175411,udp,192.168.1.1,192.168.23.2,2494,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074867000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C1443967876,udp,192.168.1.1,192.168.23.2,2495,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.074876000 Mountain Daylight Time,8,432,4,216,4,216,normal
C1449772539,udp,192.168.1.1,192.168.23.2,2496,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075240000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C926859124,udp,192.168.1.1,192.168.23.2,2497,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075270000 Mountain Daylight Time,6,324,3,162,3,162,smurf
C1603696865,udp,192.168.1.1,192.168.23.2,2498,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075301000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C12905860,udp,192.168.1.1,192.168.23.2,2499,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075350000 Mountain Daylight Time,10,540,5,270,5,270,normal
C412788346,tcp,192.168.1.1,192.168.23.2,2500,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075369000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C1520267010,udp,192.168.1.1,192.168.23.2,2501,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075374000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C908084672,tcp,192.168.1.1,192.168.23.2,2502,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075408000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C288306765,udp,192.168.1.1,192.168.23.2,2503,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075435000 Mountain Daylight Time,8,432,4,216,4,216,normal
C1556867940,tcp,192.168.1.1,192.168.23.2,2504,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075448000 Mountain Daylight Time,10,540,5,270,5,270,normal
C1839168128,tcp,192.168.1.1,192.168.23.2,2505,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075493000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1495608502,tcp,192.168.1.1,192.168.23.2,2506,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075502000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C835773569,udp,192.168.1.1,192.168.23.2,2507,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075527000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C843299092,udp,192.168.1.1,192.168.23.2,2508,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075584000 Mountain Daylight Time,6,324,3,162,3,162,Fraggile
C605982374,tcp,192.168.1.1,192.168.23.2,2509,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075637000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C1412322831,tcp,192.168.1.1,192.168.23.2,2510,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075792000 Mountain Daylight Time,14,756,7,378,7,378,Fraggile
C1305004711,tcp,192.168.1.1,192.168.23.2,2511,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075834000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1003206025,tcp,192.168.1.1,192.168.23.2,2512,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075861000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C806813022,udp,192.168.1.1,192.168.23.2,2513,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075916000 Mountain Daylight Time,12,648,6,324,6,324,normal
C1406206626,udp,192.168.1.1,192.168.23.2,2514,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075928000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1799230133,tcp,192.168.1.1,192.168.23.2,2515,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075987000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C20156341,udp,192.168.1.1,192.168.23.2,2516,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.075995000 Mountain Daylight Time,6,324,3,162,3,162,smurf
C1509309988,tcp,192.168.1.1,192.168.23.2,2517,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076039000 Mountain Daylight Time,12,648,6,324,6,324,normal
C2091072548,udp,192.168.1.1,192.168.23.2,2518,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076044000 Mountain Daylight Time,14,756,7,378,7,378,Fraggile
C263053820,udp,192.168.1.1,192.168.23.2,2519,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076098000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C1740826931,tcp,192.168.1.1,192.168.23.2,2520,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076124000 Mountain Daylight Time,12,648,6,324,6,324,normal
C69062746,udp,192.168.1.1,192.168.23.2,2521,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076144000 Mountain Daylight Time,10,540,5,270,5,270,normal
C1631227617,tcp,192.168.1.1,192.168.23.2,2522,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076191000 Mountain Daylight Time,12,648,6,324,6,324,normal
C24650043,tcp,192.168.1.1,192.168.23.2,2523,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076215000 Mountain Daylight Time,8,432,4,216,4,216,Fraggile
C1896074070,tcp,192.168.1.1,192.168.23.2,2524,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076246000 Mountain Daylight Time,6,324,3,162,3,162,Fraggile
C460741164,udp,192.168.1.1,192.168.23.2,2525,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076263000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C781091365,udp,192.168.1.1,192.168.23.2,2526,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076276000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C1858015030,udp,192.168.1.1,192.168.23.2,2527,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076317000 Mountain Daylight Time,8,432,4,216,4,216,normal
C671596011,tcp,192.168.1.1,192.168.23.2,2528,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076325000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C1687354037,tcp,192.168.1.1,192.168.23.2,2529,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076354000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C743778731,tcp,192.168.1.1,192.168.23.2,2530,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076388000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C967323951,tcp,192.168.1.1,192.168.23.2,2531,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076410000 Mountain Daylight Time,8,432,4,216,4,216,normal
C743648472,tcp,192.168.1.1,192.168.23.2,2532,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076421000 Mountain Daylight Time,8,432,4,216,4,216,Fraggile
C1368862151,udp,192.168.1.1,192.168.23.2,2533,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076469000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C922807452,tcp,192.168.1.1,192.168.23.2,2534,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076499000 Mountain Daylight Time,8,432,4,216,4,216,Fraggile
C1494346128,tcp,192.168.1.1,192.168.23.2,2535,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076541000 Mountain Daylight Time,10,540,5,270,5,270,normal
C822087264,udp,192.168.1.1,192.168.23.2,2536,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076580000 Mountain Daylight Time,10,540,5,270,5,270,normal
C38603201,udp,192.168.1.1,192.168.23.2,2537,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076592000 Mountain Daylight Time,8,432,4,216,4,216,Fraggile
C1694784135,tcp,192.168.1.1,192.168.23.2,2538,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076606000 Mountain Daylight Time,12,648,6,324,6,324,normal
C1207231495,udp,192.168.1.1,192.168.23.2,2539,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076634000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C1221981006,udp,192.168.1.1,192.168.23.2,2540,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.076642000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C1878413714,udp,192.168.1.1,192.168.23.2,2541,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077025000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C1257299717,udp,192.168.1.1,192.168.23.2,2542,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077052000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C181252244,tcp,192.168.1.1,192.168.23.2,2543,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077077000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C722417467,udp,192.168.1.1,192.168.23.2,2544,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077132000 Mountain Daylight Time,14,756,7,378,7,378,Fraggile
C753631393,tcp,192.168.1.1,192.168.23.2,2545,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077179000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C1262869688,tcp,192.168.1.1,192.168.23.2,2546,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077184000 Mountain Daylight Time,10,540,5,270,5,270,normal
C544386226,udp,192.168.1.1,192.168.23.2,2547,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077235000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C900298796,tcp,192.168.1.1,192.168.23.2,2548,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077280000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C1166106620,tcp,192.168.1.1,192.168.23.2,2549,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077285000 Mountain Daylight Time,14,756,7,378,7,378,normal
C221861886,tcp,192.168.1.1,192.168.23.2,2550,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077346000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C697508322,tcp,192.168.1.1,192.168.23.2,2551,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077367000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C603658030,udp,192.168.1.1,192.168.23.2,2552,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077438000 Mountain Daylight Time,14,756,7,378,7,378,Fraggile
C361380654,udp,192.168.1.1,192.168.23.2,2553,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077452000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C1579132337,udp,192.168.1.1,192.168.23.2,2554,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077457000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C1795225096,udp,192.168.1.1,192.168.23.2,2555,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077524000 Mountain Daylight Time,10,540,5,270,5,270,normal
C1048712791,tcp,192.168.1.1,192.168.23.2,2556,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077544000 Mountain Daylight Time,6,324,3,162,3,162,smurf
C1909398279,udp,192.168.1.1,192.168.23.2,2557,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077585000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C1338905451,udp,192.168.1.1,192.168.23.2,2558,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077638000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1252540239,udp,192.168.1.1,192.168.23.2,2559,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077823000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C1136005694,udp,192.168.1.1,192.168.23.2,2560,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077836000 Mountain Daylight Time,8,432,4,216,4,216,Fraggile
C426019904,tcp,192.168.1.1,192.168.23.2,2561,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077840000 Mountain Daylight Time,6,324,3,162,3,162,Fraggile
C1642679791,tcp,192.168.1.1,192.168.23.2,2562,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.077843000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
